"","Gene","baseMean","log2FoldChange","lfcMLE","lfcSE","stat","pvalue","weight","padj","FoldChange"
"13584","SPN",100.675268675884,-0.39894355142194,-0.410125117698304,0.127579754305773,-3.12701300917844,0.00176592113123,0.847542069651867,1,0.758413446680616
"13585","STMND1",7.01528094677553,0.697778474879274,0.71908906807577,0.22314602288988,3.12700385981614,0.00176597608856925,1.14458600295753,1,1.62200523391822
"13586","PBRM1",1263.08792352872,0.276736756882575,0.277426740715533,0.0885001560824118,3.12696348947539,0.00176621859927375,0.809332939322037,0.862823327581669,1.21145159126383
"13587","PSMD2",3833.00235481749,0.221817995900317,0.224652069870762,0.0709527943070793,3.12627568887989,0.00177035502786505,0.820760162425298,0.603087003343331,1.16620223753159
"13588","MAX",859.496026348668,-0.19534288698069,-0.195796249528173,0.0624999123010238,-3.12549057732822,0.00177508756761509,0.848057361081753,1,0.87336529751828
"13589","RPL36",4700.18877347782,-0.697424366478065,-0.707463719596992,0.223179986866419,-3.12494133667773,0.00177840522211522,0.812805797645415,0.640648823523679,0.616672165076056
"13590","RPL18A",8361.41039626592,-0.59449860398579,-0.597394539310543,0.190250799374479,-3.12481527510228,0.00177916749316474,0.812805797645415,0.640648823523679,0.662274582931474
"13591","ERCC8",132.915020653105,0.254737165955768,0.255631688788773,0.0815402284266382,3.12406735756149,0.00178369619267426,0.809332939322038,1,1.19311835773436
"13592","ITLN2",0.452584566342578,-2.22620481378366,-2.4327690136152,0.712733679998034,-3.12347357261102,0.00178729915016829,1.84754206965187,1,0.213720201296433
"13593","GPR83",36.2906417205825,0.624562249209525,0.59610550267141,0.200004105822187,3.12274713882519,0.00179171608964586,0.844960632389803,1,1.54174294995459
"13594","LRRC41",1305.15877490462,0.232210517633141,0.23322937254834,0.0743775368103621,3.12205173216747,0.0017959537719768,0.820760162425298,0.742616460578481,1.17463336086096
"13595","UBE2L3",1640.34271291913,0.308227215950529,0.308920473748093,0.0987346398877652,3.12177384047687,0.0017976497683322,0.812805797645415,1,1.23818528235313
"13596","CEP83",145.888856764252,0.357288866339388,0.359225685893435,0.114516153583094,3.11998661464067,0.00180859258246896,0.848057361081753,1,1.28101632956705
"13597","TRPM6",50.9040984206228,-0.590171353682885,-0.619068479422071,0.189188745868155,-3.11948446497009,0.00181167813901123,0.844960632389803,1,0.664264005519916
"13598","SULT1A4",156.745855421451,-0.874504099492485,-0.935487581128139,0.280399078380741,-3.11878378681772,0.00181599167780656,0.844960632389803,1,0.545441319770701
"13599","AC006449.2",118.365878355902,1.97141319622867,3.60373902807752,0.632148357349202,3.11859261091088,0.00181717023927729,0.809332939322038,1,3.92152064680672
"13600","MANBAL",828.291825031429,-0.382691648141121,-0.385997684692651,0.122780959947434,-3.11686476718347,0.00182785398134024,0.812805797645415,0.902520089751795,0.767005246821059
"13601","FTSJ1",496.427333236442,-0.291025174884354,-0.293726977348807,0.0933888200928452,-3.11627424562193,0.00183151855565141,0.809332939322038,1,0.817321066192882
"13602","ARSK",175.248819203614,0.270672040792487,0.271587046884366,0.0868603038798022,3.11617653522194,0.00183212556342008,0.844960632389803,1,1.20636965177335
"13603","PPIAL4G",45.5519709148476,0.665868198391847,0.660345706673803,0.213718040805787,3.11563869798406,0.00183547008814177,0.844960632389803,1,1.58652273835487
"13604","PCDH20",20.1924991998638,-0.936372489601144,-1.04517133859229,0.300570262064359,-3.11531980299716,0.00183745577535636,1.14458600295753,1,0.522545116699372
"13605","RASGRP3",229.090104349336,-0.727652087685967,-0.724231420796916,0.233671292458914,-3.11399864326042,0.00184570338534759,0.848057361081753,1,0.603885907952714
"13606","ZC3H12C",411.323409442763,0.366766658365232,0.366201386914514,0.117813522089729,3.11311173674866,0.00185125914714104,0.809332939322038,1,1.28945967645676
